account_index,address,balance,yesterday_balance,change_24h
0,0x0000000000000000000000000000000000000000,0.00,0.00,0.00
3,0x3fBBA2b0e07895ae8638D17fd83d72338954D272,0.00,0.00,0.00
6,0xE217aB4a480Eb3C0560A2d4D9F4f473585d4b3Bc,0.00,0.00,0.00
9,0x6914560FC1CCf583F5DfB75b466f4098Ac3798ed,0.00,0.00,0.00
10,0x478686468057D9873E8718083D40d2927b12F91A,0.00,0.00,0.00
13,0x9098EAf08c8bEaF2771ED2bdC84dDB0028E22B84,0.00,0.00,0.00
17,0xA48d879ab2B1dc99E02071BbE1C5938117B9B4d2,0.00,0.00,0.00
23,0x6418eeE0E2cD3090F687AF912CC948b37358E40b,0.00,0.00,0.00
24,0x9b8D146AB4b61C281B993E3F85066249A6e9b0Db,0.00,0.00,0.00
27,0x621cbC6159D2BbA808F15dF8947D2F42b0fEBdBE,0.00,0.00,0.00
28,0xBf397307d9391C31dD6a4517F966942CC9508f18,0.00,0.00,0.00
29,0xBBCb5A11593829194fb0085d44ab21b33aA07Ce6,0.00,0.00,0.00
32,0x800a656095BC2d884EC08E601C918c73c20690f8,0.00,0.00,0.00
35,0xF1A065B50924E57127f992e543443aE2F36B072c,0.00,0.00,0.00
36,0x28a426C05136Ab56cB88c238f5162b556696223C,0.00,0.00,0.00
38,0x92781c8069191a76fB4b84b7209d45165c801587,0.00,0.00,0.00
40,0x25a0779c70F53B2B9dB05818039B4BC9beA11889,0.00,0.00,0.00
41,0x580e0B94A79E2CADEBb30d06ADFb710c08194458,0.00,0.00,0.00
42,0xDd4Fb7a19AFDD320f9dB75BD80073f12385c6A03,0.00,0.00,0.00
46,0x3769ab981F7F4572Fa2C0032de2C010364DF9999,0.00,0.00,0.00
49,0xCa90D43A2F3B9E9B356dd0877ACED3dF05296D60,0.00,0.00,0.00
51,0x8E8af75d9433D2b3E08ACb8C4c0E2BB36BDBCFbA,0.00,0.00,0.00
52,0x9f778e72A0d0f50fA11cb16D6f85c00d099ba176,0.00,0.00,0.00
55,0x8a2F35b385Ac44FA049237a2151d0E22871fBd67,0.00,0.00,0.00
57,0x9daf86c683eE0935Ee864C8633fe200623134640,0.00,0.00,0.00
59,0x631e44e538D9298e1cebd18C14AE4D6F80f0436b,0.00,0.00,0.00
65,0x0216120f0ec906e192724EA00EC1B2AbbB7C1240,0.00,0.00,0.00
67,0x2466A85341e3A7F24bdE0d7E1e055B15617FeF91,0.00,0.00,0.00
69,0x6363F3dA9D28C1310C2EaBdD8e57593269F03fF8,0.00,0.00,0.00
70,0x69008D2aB8D69aFC951DbEc200E6b5BbCE1415E7,0.00,0.00,0.00
83,0x0d4F3596b5a4f7F4EF2cA9d978545191CA8E0B2D,0.00,0.00,0.00
84,0x0ff681870ac71C8afb98075ED1D7cebE20EC89b3,0.00,0.00,0.00
88,0x4a897096911570e8a7e6EAfaCFa8D3a040b51620,0.00,0.00,0.00
89,0xfAb995036573a3E9d627aa4cFb100EeAADAc573d,0.00,0.00,0.00
